candidate,ID,title,url,date,sentiment_score,sentiment_type
Donald+Trump,MjkzMjI2NDk1OXwxNDY4OTQ3MjM3,"Donald Trump Entered The RNC To A Queen Song, And The Internet Was Having None Of It",https://www.yahoo.com/music/donald-trump-entered-rnc-queen-123828719.html,7/19/16,-0.222872004,negative
Donald+Trump,MjkwMjYzNjg0OHwxNDY4OTQ1MTc3,Queen Is Not Happy That Donald Trump Used Their Song at the Republican Convention,http://time.com/4412672/republican-convention-donald-trump-queen/,7/19/16,0.085609101,positive
Donald+Trump,MjgzODExMjYxM3wxNDY4OTQwOTEz,Donald Trump: Black Lives Matter calls for killing police,http://www.cbsnews.com/news/donald-trump-black-lives-matter-calls-for-killing-police/,7/19/16,-0.309810996,negative
Donald+Trump,MjgzOTYyMjE4NXwxNDY4OTQwNTQx,19 of Donald Trump's Weirdest Celebrity Endorsements,http://www.rollingstone.com/politics/pictures/19-of-donald-trumps-weirdest-celebrity-endorsements-20160121/tila-tequila-20160121,7/19/16,0.103013001,positive
Donald+Trump,MzAwNDYxNTY5MXwxNDY4OTM5MTQw,Democrats say RNC is 'divisive' and Donald Trump is a hypocrite,http://www.cleveland.com/rnc-2016/index.ssf/2016/07/democrats_say_rnc_is_divisive.html?utm_source=twitterfeed&utm_medium=twitter,7/19/16,-0.407611996,negative
Donald+Trump,MzAxMTg4MDk1MXwxNDY4OTM2ODAw,"How many kids does Donald Trump have? Donald Jr., Ivanka, Eric, Tiffany and Barron",http://www.al.com/news/index.ssf/2016/07/how_many_kids_does_donald_trum.html,7/19/16,0.390543014,positive
Donald+Trump,Mjk2ODc5Mjg1MXwxNDY4OTM1OTYw,Rob Portman thinks Donald Trump should stop picking on John Kasich,http://www.cleveland.com/rnc-2016/index.ssf/2016/07/rob_portman_thinks_donald_trum.html?utm_source=twitterfeed&utm_medium=twitter,7/19/16,-0.126232997,negative
Donald+Trump,Mjk2NTQ2MTczOXwxNDY4OTM1ODQw,Donald Trump a no-show at meeting with business leaders at RNC,http://www.cleveland.com/rnc-2016/index.ssf/2016/07/donald_trump_a_no-show_at_meet.html?utm_source=dlvr.it&utm_medium=twitter,7/19/16,-0.0414363,negative
Donald+Trump,Mjc0MTY1Mzc5NnwxNDY4OTMyMjA2,100 Naked Women Greeted Donald Trump at the Republican National Convention,http://www.msn.com/en-ph/lifestyle/style/100-naked-women-greeted-donald-trump-at-the-republican-national-convention/ar-BBus6Nk,7/19/16,0.081844397,positive
Donald+Trump,MjcyNzk1MDc5NnwxNDY4OTMxODg1,"Stephen Colbert steals stage at RNC, mocks Donald Trump - Breitbart",http://www.breitbart.com/news/stephen-colbert-steals-stage-at-rnc-mocks-donald-trump/,7/19/16,-0.139424995,negative
